쌀밥,북어계란국,참치김치볶음,석박지,사과,초코우유,비엔나야채볶음,,,3
비빔밥,단호박전,배추김치,오렌지,검은콩우유,유부된장국,,,,2
옥수수밥,닭감자탕,두부구이/양념장,상추겉절이,상추겉절이,왕찐만두/양념장,배추김치,,,3
검정쌀밥구암,애호박된장찌개,요플레,취나물된장무침,파프리카해물완자전,총각김치,금귤,,,3
카레라이스,부추달걀국,닭꼬지,배추김치,방울토마토,바이오거트,,,,2
쌀밥,고등어무조림,겨울초겉절이,검은깨올방개묵,리쪼,돈육김치찌개,깍두기,,,3
오곡밥,황태맑은국,오이소박이(완제),김가루계란말이,오렌지,초코머핀,우유,,,3
보리찹쌀밥,미더덕된장국,순대,오징어젓갈,두루치기,배추김치,사과,,,2
현미찹쌀밥,조랭이떡국,돈육메추리알장조림,상추겉절이,건새우마늘쫑볶음,배추김치,파인애플,,,3
흑미찹쌀밥,사리곰탕(기숙사),연두부/양념장,배추김치,토마토,애호박전/양념간장,,,,2
참치야채비빔밥,맑은콩나물국,딸기도넛,깍두기,바나나(손),요구르트,,,,2
검정콩밥,부대찌개,깐풍기(닭),연근조림,시금치나물,배추김치,,,,2
검정콩밥,콩비지찌개,홍게실까스/머스터드,멸치볶음,총각김치,썬업,사과,,,3
쌀밥,애호박된장찌개,검은깨찐두부/돈육김치볶음,배추김치,상추겉절이,,,,,3
흑미찹쌀밥,쇠고기미역국,해물파전(오징어만),배추김치,볶음우동,요플레,방울토마토,,,2
자장라이스,계란파국,과일샐러드,깍두기,삼색경단,,,,,2
현미찹쌀밥,등뼈감자탕,비빔만두,어린새송이버섯볶음,배추김치,콩나물무침(흰색),,,,2
주먹밥(개),김치말이국수,배추김치,바이오거트,토마토,요플레,,,,2
차조밥,문어두부국,닭다리알감자조림,연근땅콩조림,구트,배추김치,방울토마토,,,3
굴소스해물볶음밥,유부된장국,케이준치킨샐러드,깍두기,요구르트,파인애플,,,,2
쌀밥,청국장찌개,돼지수육,양파와사비절임,상추/쌈장,배추김치,,,,2
영양밥,방아멸치시락국,베이컨감자채볶음,배추김치,숙주나물,미니메이플피칸파이,엔요,,,3
쌀밥,경단미역국,연근조림,오리불고기,상추겉절이,배추김치,요플레,,,2
쌀밥,애호박된장찌개,계란찜,갑오징어야채무침,취나물된장무침,배추김치,식빵피자토스트,,,3
쌀밥,시레기된장국,브로컬리/초고추장,닭감자볶음,배추김치,엔요,스크램블드에그,,,3
꽁보리밥,쑥갓어묵국,부추생채,도토리묵,오리훈제,배추김치,무쌈,,,2
우동,뿌리채소밥,단무지,수박,왕새우튀김,,,,,2
흑미찹쌀밥,시레기된장국,시금치나물,닭야채볶음(떡),깍두기,아몬드후레이크/우유,,,,2
쌀밥,미더덕된장국,참나물,오징어떡볶이,애느타리버섯볶음,배추김치,요거트푸딩,,,3
깍두기,딸기,우유,브로컬리볶음밥,수제새우버거,,,,,2
쌀밥,북어계란국,참치김치볶음,해물완자전,석박지,사과,초코우유,,,3
뿌리채소밥,꽃게탕,닭다리구이,오이소박이(완제),숙주나물,총각김치,바나나(손),,,2
현미찹쌀밥,모듬잡채,계란장조림,배추김치,건새우마늘쫑볶음,파인애플,조랭이떡국,,,2
쌀밥,해물된장국,버섯볶음,감자채볶음,파인애플,미니메이플피칸파이,배추김치,,,3
흑미찹쌀밥,깍두기,순대,북어계란국,후르츠탕수육,콩나물무침(흰색),,,,2
미트스파게티,배추김치,치즈케익,요구르트,쌀밥,시레기된장국,,,,2
쌀밥,물만두국,붉은오이무침,홍게살크레볼/케첩,배추김치,엔요,바나나(손),,,2
쌀밥,유부된장국,알감자조림,모듬야채샐러드,치즈등심돈까스/데리소스,배추김치,유기농포도쥬스,,,2
쌀밥,애호박전/양념간장,비엔나야채볶음,배추김치,김구이(완제),요플레,팽이된장국,,,3
오므라이스,유부된장국,멸치볶음,파인애플,인절미,배추김치,,,,3
옥수수밥,시레기된장국,만두탕수,갈치구이/양념장,콩나물무침(흰색),배추김치,우유,,,2
쌀밥,쇠고기떡국(냉면기),콩나물맛살냉채,총각김치,크로와상(청정원)/잼,바나나(손),,,,2
돈육콩나물국밥(냉면기),오이부추생채,김치전,깍두기,수박,,,,,3
닭갈비야채볶음밥,유부된장국,배추김치,팥송편,오렌지,유기농포도쥬스,,,,3
쌀밥,애호박된장찌개,오징어젓갈,감자채볶음,비엔나야채볶음,배추김치,우유,,,3
고구마파이,쌀밥,북어계란국,후르츠탕수육,콩나물무침(흰색),배추김치,도토리묵무침,,,2
자장라이스,다시마미소국,단무지,웨지감자구이/케첩,배추김치,요플레,,,,2
쌀밥,북어계란국,연두부/양념장,시금치나물,돈육김치볶음,깍두기,우유,,,3
갈비산적아채볶음밥,계란파국,깍두기,토마토,요구르트드레싱,딸기파이,오미자쥬스,,,2
쌀밥,애호박된장찌개,고등어김치조림,베이컨감자채볶음,깍두기,오렌지,궁중왕만두,,,2
볶음김치/김가루/계란,볶음김치/계란,치즈케익,유부된장국,깍두기,우유,멜론,,,2
잡곡밥,김치콩나물국,돈육메추리알장조림,오이생채,애호박나물,배추김치,수박,,,3
쌀밥,청국장찌개,삼겹살오븐구이,새송이버섯구이,상추겉절이,배추김치,토마토,요플레,,3
오곡밥,황태맑은국,김가루계란말이,우유,초코머핀,오렌지,배추김치,오이생채,,3
닭갈비야채볶음밥,유부된장국,깍두기,송편(인 개),수박,이츠웰쥬스(능금감귤),,,,2
쌀밥,시레기된장국,명태통살까스/사우전아일랜드,붉은오이무침,연근조림,배추김치,파인애플,,,3
현미찹쌀밥,버섯전골,시금치나물,총각김치,닭봉떡조림,사과,초코우유,,,3
현미찹쌀밥,조랭이떡국,검은깨찐두부/돈육김치볶음,야채튀김,깍두기,수박,,,,2
배추김치,실곤약무침,쌀밥,순두부찌개,치즈등심돈까스/데리소스,콩나물무침(흰색),,,,2
옥수수밥,총각김치,참치야채전,새송이버섯구이,방아멸치시락국,우유,베이컨감자채볶음,,,3
비빔밥(계절),키위쥬스,오징어두부국,깍두기,계란빵,아이스홍시,,,,2
쌀밥,콩비지찌개,무생채,배추김치,돼지갈비떡찜,브로컬리/초고추장,,,,3
흑미찹쌀밥,근대된장국,사과,양배추쌈,깐쇼새우/칠리소스,배추김치,우유,감자채볶음,,3
잔치국수,주먹밥(개),엔요,깍두기,과일샐러드,,,,,2
쌀밥,미소된장국,오이스틱,돈육떡볶음,깍두기,멜론,모듬잡채,,,2
현미찹쌀밥,멸치김치찌개,닭다리알감자조림,깻잎지(완제),키위,우유,연근땅콩조림,딸기파이,,3
쌀밥,물만두국,삼색소시지볶음(부),스크램블드에그,연근땅콩조림,배추김치,우유,,,3
쌀밥,오이냉국,오리불고기,콩나물맛살냉채,참나물,배추김치,리쪼,,,2
검정콩밥,두부구이/양념장,모듬잡채,상추겉절이,배추김치,바나나(손),애호박된장찌개,,,3
현미찹쌀밥,맑은콩나물국,호두아몬드볶음,낙지볶음,배추김치,우유,오이생채,우리밀딸기잼파이,,3
근대된장국,오리훈제야채무침,배추김치,오이생채,쌀밥,감자채볶음,방울토마토,,,2
쌀밥,유부된장국,치즈등심돈까스/데리소스,과일샐러드,실곤약무침,배추김치,돌스위티오파인쥬스,,,2
쌀밥,크로와상,김구이(완제),어묵볶음,배추김치,우유,햄구이,양상치, 치즈,2
낙지야채비빔밥,북어무채국,실곤약무침(마요네즈과고),배추김치,오렌지,메론샤벳,,,,3
옥수수밥,닭개장,삼치구이,백김치,오이고추,검은깨올방개묵,딸기파이,,,2
사과,우유,배추김치,전복죽/양념장,메추리알장조림,참나물미나리무침,,,,3
삼겹살김치볶음밥,팽이된장국,깍두기,미니메이플피칸파이,엔요,수박,,,,3
현미찹쌀밥,조랭이떡국,모듬장조림,참치김치볶음,죽순버섯볶음,깍두기,오렌지,,,3
밸런스라이스업,시레기된장국,궁중왕만두,가자미김치조림,사과,깍두기,우유,초코머핀,,3
클로렐라쌀밥,문어두부국,고추잡채/꽃빵,콩나물무침(흰색),고등어()자반구이,배추김치,방울토마토,,,3
멜론,쌀밥,등뼈감자탕,돈육메추리알장조림,상추겉절이,꽈리건새우볶음,배추김치,,,2
쌀밥,취나물된장무침,파프리카해물완자전,총각김치,요거트푸딩,우유,버섯전골,블루파이,,3
카레라이스,계란파국,우리쌀호두파이,배추김치,엔요,과일샐러드,,,,2
쌀밥,돈육김치찌개,겨울초겉절이,도토리묵무침,깍두기,리쪼,불낙볶음,,,3
현미찹쌀밥,단호박수제비국,함박스테이크,배추김치,오징어젓갈,함박스테이크소스,방울토마토,우유,우리밀딸기잼파이,2
날치알김치볶음밥,계란후라이,다시마미소국,핫도그,방울토마토,오미자쥬스,총각김치,,,2
쌀밥,해물된장국,떡양념치킨,도토리묵무침,상추겉절이,배추김치,,,,2
사리곰탕(기숙사),연두부/양념장,오이부추생채,배추김치,바나나(손),우유,흑미찹쌀밥,,,2
물냉면,총각김치,미니메이플피칸파이,엔요,방울토마토,,,,,2
고등어()자반구이,배추김치,쌀밥,감자두부된장국,순대야채볶음,브로컬리/초고추장,,,,3
쌀밥,북어계란국,참치김치볶음,비엔나꽈리볶음,석박지,콩나물무침(흰색),우유,비엔나토마토,,3
검은깨찐두부/돈육김치볶음,상추겉절이,깍두기,수박,쌀밥,애호박된장찌개,,,,3
현미찹쌀밥,맑은콩나물국,아삭이고추/쌈장,참나물미나리무침,총각김치,요플레,사과,돈등뼈김치찜,,3
쌀밥,쇠고기미역국,감자햄볶음,배추김치,사과,오징어젓갈,우유,파프리카해물완자전,,2
토마코펜라이스업밥,동태국,비빔만두,연두부/양념장,도라지 진미무침,배추김치,참외,,,3
뿌리채소밥,수제치킨버거,깍두기,방울토마토,구트,,,,,2
쌀밥,애플파이,근대된장국,사과,삼치구이,마늘쫑어묵볶음,우유,배추김치,,3
곤드레나물밥,시레기된장국,콩나물맛살냉채,배추김치,과일샐러드,요플레,,,,3
쌀밥,방아멸치시락국,숙주나물,베이컨감자채볶음,배추김치,칼슘깻잎육전,우유,바나나(손),,2
단호박카레라이스,계란파국,야채어묵조림,배추김치,미니메이플피칸파이,돌스위티오파인쥬스,,,,2
다시마미소국,배추김치,취나물된장무침,갑오징어야채무침,식빵피자토스트,사과,쌀밥,햄,콘계란찜,3
쌀밥,돈육김치찌개,연두부/양념장,포크소시지야채볶음,콩나물무침(흰색),배추김치,우유,,,3
흑미찹쌀밥,북어계란국,모듬잡채,계란장조림,무생채,배추김치,참외,,,3
우동,깍두기,사과,파인애플소르베,뿌리채소밥,,,,,1
흑미찹쌀밥,쇠고기미역국,돈육메추리알장조림,배추김치,마늘쫑어묵볶음,오이생채,우유,,,2
쌀밥,애호박된장찌개,연근조림,상추겉절이,오리불고기,배추김치,요플레,,,2
쌀밥,청국장찌개,돼지수육,양파와사비절임,배추김치,무말랭이무침,,,,2
쌀밥,숯불떡갈비야채볶음,브로컬리/초고추장,배추김치,치즈케익,북어계란국,우유,오징어젓갈,,3
자장라이스,오꼬노미야끼,계란파국,깍두기,엔요,사과,,,,2
쌀밥,등뼈감자탕,오이생채,배추김치,후르츠탕수육,메론,,,,2
쌀밥,어묵국,고등어()자반구이,궁중떡볶이,오이생채,배추김치,바나나(손),우유,,3
쌀밥,감자국,돼지갈비떡찜,시금치나물,골뱅이무침/사리,배추김치,참외,,,3
부대찌개,오징어볶음,콩나물무침(흰색),배추김치,오징어볶음,쌀밥,모듬잡채,,,2
흑미찹쌀밥,곰탕,연두부/양념장,오이생채,배추김치,바나나(손),애플파이,딸기우유,,3
날치알김치볶음밥,맑은콩나물국,후라이드닭다리,깍두기,친환경멜론,양상추샐러드,요구르트,,,3
쌀밥,쇠고기미역국,닭야채볶음(떡),오꼬노미야끼,애호박나물,배추김치,사과,,,2
쌀밥,애호박된장찌개,오징어젓갈,감자채볶음,비엔나야채볶음,배추김치,우유,사과,,3
잡곡밥,모듬잡채,브로컬리/초고추장,깍두기,참외,삼치구이,조랭이떡국,,,3
쌀밥,동태국,오이무침,계란떡볶이,김말이튀김,배추김치,바나나(손),,,3
비엔나토마토,현미찹쌀밥,북어무채국,햄구이,낙지볶음,콩나물무침(흰색),배추김치,우유,,3
쌀밥,문어두부국,등갈비폭립,감자채볶음,배추김치,파인애플,양상추샐러드,,,3
카레라이스,우리쌀호두파이,계란파국,과일샐러드,배추김치,엔요,,,,2
현미찹쌀밥,우리밀딸기잼파이,단호박수제비국,단호박수제비국,오징어젓갈,함박스테이크,배추김치,함박스테이크소스,방울토마토,2
알감자버터구이,현미찹쌀밥,쇠고기미역국,닭야채볶음(떡),양배추,취나물된장무침,배추김치,엔요,,3
자장라이스,달걀양파국,후르츠탕수육,실곤약무침,배추김치,단무지,바나나(손),,,2
쌀밥,북어계란국,연두부/양념장,시금치나물,돈육김치볶음,깍두기,우유,사과,,3
돈육콩나물밥/양념장,시레기된장국,떡양념치킨,배추김치,오이생채,친환경멜론,미숫가루,,,2
꽁보리밥,청국장찌개,숙주나물,돼지수육,양파와사비절임,배추김치,비엔나토마토,상추/쌈장,,3
전복죽/양념장,메추리알장조림,참나물미나리무침,배추김치,우유,사과,,,,2
잡곡밥,김치콩나물국,오리불고기,옥수수야채계란찜,배추김치,체리,상추/쌈장,호박나물,,3
쌀밥,버섯전골,두부조림,배추김치,시금치나물,우유,미니메이플피칸파이,오징어떡볶이,,3
잡채볶음밥,북어콩나물국,상추겉절이,깍두기,참외,요플레,자장소스/쌀밥,애플파이,,2
쌀밥,쇠고기미역국,닭야채볶음(떡),오꼬노미야끼,애호박나물,배추김치,사과(부사),,,3
사과,쌀밥,감자국,함박스테이크,배추김치,우유,김구이(완제),멸치아몬드볶음,딸기파이,2
