쌀밥,요구르트,시레기된장국,치즈케이크,배추김치,,,,,,미트스파게티,2
쌀밥,,물만두국,,,붉은오이무침,배추김치,홍게살크레볼/케첩,바나나,엔요,,2
쌀밥,,유부된장국,,치즈등심돈까스/데리소스,모듬야채샐러드,배추김치,유기농포도주스,,,알감자조림,2
쌀밥,,팽이된장국,요플레,,,배추김치,비엔나야채볶음,김구이,애호박전/양념간장,,3
오므라이스,,유부된장국,,멸치볶음,,배추김치,인절미,,,파인애플,3
옥수수밥,,시레기된장국,,,콩나물무침,배추김치,우유,갈치구이/양념장,,만두탕수,2
쌀밥,,쇠고기떡국,,,콩나물맛살냉채,총각김치,,,바나나,크로와상/잼,2
돈육콩나물국밥,,,,,,김치전,오이부추생채,수박,깍두기,,3
닭갈비야채볶음밥,,유부된장국,,,,배추김치,유기농포도주스,오렌지,,팥송편,3
쌀밥,,애호박된장찌개,,,,배추김치,우유,감자채볶음,비엔나야채볶음,오징어젓갈,3
쌀밥,고구마파이,북어달걀국,,,콩나물무침,배추김치,,도토리묵무침,후르츠탕수육,,2
자장라이스,,다시마미소국,,,,배추김치,요플레,,웨지감자구이/케첩,단무지,2
쌀밥,,북어달걀국,,,시금치나물,돈육김치볶음,우유,깍두기,,연두부/양념장,3
갈비산적아채볶음밥,,달걀파국,,,,깍두기,요구르트드레싱,토마토,딸기파이,오미자주스,2
쌀밥,,애호박된장찌개,,고등어김치조림,,깍두기,베이컨감자채볶음,궁중왕만두,오렌지,,2
,,유부된장국,치즈케이크,,멜론,볶음김치/김가루/달걀,우유,깍두기,,볶음김치/달걀,2
잡곡밥,,김치콩나물국,,,애호박나물,배추김치,,수박,오이생채,돈육메추리알장조림,3
쌀밥,,청국장찌개,,,요플레,배추김치,상추겉절이,토마토,새송이버섯구이,삼겹살오븐구이,3
오곡밥,,황태맑은국,,,오이생채,배추김치,우유,김가루달걀말이,초코머핀,오렌지,3
닭갈비야채볶음밥,,유부된장국,,,,깍두기,이츠웰주스,수박,,송편,2
쌀밥,,시레기된장국,,,붉은오이무침,배추김치,연근조림,파인애플,명태통살까스/사우전아일랜드,,3
현미찹쌀밥,,버섯전골,,닭봉떡조림,시금치나물,총각김치,초코우유,사과,,,3
현미찹쌀밥,,조랭이떡국,,,,검은깨찐두부/돈육김치볶음,,수박,깍두기,야채튀김,2
쌀밥,실곤약무침,순두부찌개,,치즈등심돈까스/데리소스,콩나물무침,배추김치,,,,,2
옥수수밥,,방아멸치시락국,새송이버섯구이,,,총각김치,우유,,참치야채전,베이컨감자채볶음,3
비빔밥,,오징어두부국,달걀빵,깍두기,,,키위주스,,아이스홍시,,2
쌀밥,,콩비지찌개,,돼지갈비떡찜,배추김치,,,브로컬리/초고추장,,무생채,3
흑미찹쌀밥,,근대된장국,,,감자채볶음,배추김치,우유,양배추쌈,깐쇼새우/칠리소스,사과,3
주먹밥,잔치국수,,,,,깍두기,엔요,과일샐러드,,,2
쌀밥,,미소된장국,,,,깍두기,돈육떡볶음,멜론,모듬잡채,오이스틱,2
